Week,Campaign status,Campaign,Currency code,Budget,Budget type,Campaign type,Impr.,Interactions,Interaction rate,Cost,Conversions,Conv. value,Conv. value / cost,Conv. rate,Avg. session duration (seconds),Avg. CPC,Cost / conv.,Bid strategy type
4/1/2019,Enabled,Collection A - Display - Retargeting,USD,120,Daily,Display,"410,952","4,506",1.10%,873.36,0,0,0,0.00%,32,0.19,0,Manual CPC
4/8/2019,Enabled,Collection A - Display - Retargeting,USD,120,Daily,Display,"390,342","4,596",1.18%,865.32,12,869.88,1.01,0.26%,30,0.19,72.11,Manual CPC
5/6/2019,Enabled,Collection A - Display - Retargeting,USD,120,Daily,Display,"398,994","4,680",1.17%,828.42,6,389.94,0.47,0.13%,48,0.18,138.07,Manual CPC
5/27/2019,Enabled,Collection A - Display - Retargeting,USD,120,Daily,Display,"378,492","4,308",1.14%,783.06,0,0,0,0.00%,56,0.18,0,Manual CPC
4/15/2019,Enabled,Collection A - Shopping - Retargeting,USD,420,Daily,Shopping,"13,992",138,0.99%,161.1,0,0,0,0.00%,39,1.17,0,CPC (enhanced)
5/6/2019,Enabled,Collection A - Shopping - Retargeting,USD,420,Daily,Shopping,"44,274","1,044",2.36%,868.08,0,0,0,0.00%,128,0.85,0,CPC (enhanced)
6/10/2019,Enabled,Collection A - Shopping - Retargeting,USD,420,Daily,Shopping,"24,876",792,3.18%,886.74,0,0,0,0.00%,139,1.09,0,CPC (enhanced)
7/8/2019,Enabled,Collection A - Shopping - Retargeting,USD,420,Daily,Shopping,"59,526","1,428",2.40%,1422.3,9,1390.5,0.98,0.63%,193,1.05,158.03,CPC (enhanced)
4/1/2019,Enabled,Collection A - Shopping - Retargeting,USD,420,Daily,Shopping,"10,044",144,1.43%,168.36,0,0,0,0.00%,76,1.17,0,CPC (enhanced)
4/22/2019,Enabled,Collection A - Shopping - Retargeting,USD,420,Daily,Shopping,"17,124",138,0.81%,142.8,16.02,2199.84,15.41,11.59%,144,1.03,8.93,CPC (enhanced)
5/27/2019,Enabled,Collection A - Shopping - Retargeting,USD,420,Daily,Shopping,"25,236",852,3.38%,764.7,0.84,728.58,0.95,0.10%,173,0.97,892.15,CPC (enhanced)
6/17/2019,Enabled,Collection A - Shopping - Retargeting,USD,420,Daily,Shopping,"65,100","1,902",2.92%,1866.06,0,0,0,0.00%,162,0.94,0,CPC (enhanced)
6/24/2019,Enabled,Collection A - Shopping - Retargeting,USD,420,Daily,Shopping,"87,780","2,346",2.67%,2363.1,21,18524.58,7.84,0.90%,210,1.04,112.53,CPC (enhanced)
4/8/2019,Enabled,Collection A - Shopping - Retargeting,USD,420,Daily,Shopping,"18,402",114,0.62%,124.2,0,0,0,0.00%,91,1.09,0,CPC (enhanced)
5/13/2019,Enabled,Collection A - Shopping - Retargeting,USD,420,Daily,Shopping,"45,270","1,080",2.39%,990.84,2.88,2874.18,2.9,0.26%,168,0.92,346.79,CPC (enhanced)
5/20/2019,Enabled,Collection A - Shopping - Retargeting,USD,420,Daily,Shopping,"49,032","1,212",2.47%,1129.02,6,389.94,0.35,0.50%,174,1.01,188.17,CPC (enhanced)
6/3/2019,Enabled,Collection A - Shopping - Retargeting,USD,420,Daily,Shopping,"29,736","1,008",3.39%,873,3,2519.94,2.89,0.30%,155,0.88,291,CPC (enhanced)
4/29/2019,Enabled,Collection A - Shopping - Retargeting,USD,420,Daily,Shopping,"18,984",174,0.92%,173.04,0,0,0,0.00%,25,0.99,0,CPC (enhanced)
7/1/2019,Enabled,Collection A - Shopping - Retargeting,USD,420,Daily,Shopping,"83,184","1,884",2.26%,1876.32,4.02,3196.98,1.7,0.21%,180,1.03,469.08,CPC (enhanced)
5/6/2019,Enabled,Collection A - Shopping - Traffic,USD,900,Daily,Shopping,"2,351,184","13,920",0.59%,6567.84,68.34,59965.56,9.13,0.49%,110,0.47,96.08,Maximize Conversion Value
7/1/2019,Enabled,Collection A - Shopping - Traffic,USD,900,Daily,Shopping,"2,402,376","14,736",0.61%,6335.64,21,19481.76,3.07,0.14%,98,0.43,301.7,Maximize Conversion Value
4/8/2019,Enabled,Collection A - Shopping - Traffic,USD,900,Daily,Shopping,"2,320,668","24,276",1.05%,7260.96,85.98,81702.36,11.25,0.35%,67,0.3,84.43,Maximize Conversion Value
4/22/2019,Enabled,Collection A - Shopping - Traffic,USD,900,Daily,Shopping,"2,138,820","17,124",0.80%,7199.76,45.48,37678.8,5.23,0.27%,104,0.42,158.24,Maximize Conversion Value
